Action 1!
Thu Sep 18 15:35:40 EDT 2014

CLIENT PROGRESS PERCENTAGE: 
Client Name          Next state           states done          states acked         statesdone percent   statesacked percent 
xdpc2                0                    1654                 1654                 100.000              100.000             
xdpc1                0                    1654                 1654                 100.000              100.000             
xdpc0                0                    1654                 1654                 100.000              100.000             
xdpc4                0                    1654                 1654                 100.000              100.000             
xdpc3                0                    1654                 1654                 100.000              100.000             
cfmd                 0                    1654                 1654                 100.000              100.000             
dfwd                 0                    1654                 1654                 100.000              100.000             
lfmd                 0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
cosd                 0                    1654                 1654                 100.000              100.000             
rpd                  0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
l2ald                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
oamd                 0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
snmpd                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
apsd                 0                    1654                 1654                 100.000              100.000             
pppd                 0                    1654                 1654                 100.000              100.000             
mspd                 0                    1654                 1654                 100.000              100.000             
fsad                 0                    1654                 1654                 100.000              100.000             
dfcd                 0                    1654                 1654                 100.000              100.000             
rdd                  0                    1654                 1654                 100.000              100.000             
rmopd                0                    1654                 1654                 100.000              100.000             
iccpd                0                    1654                 1654                 100.000              100.000             
lmpd                 0                    1654                 1654                 100.000              100.000             
transportd           0                    1654                 1654                 100.000              100.000             
l2cpd                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
pfed                 0                    1654                 1654                 100.000              100.000             
irsd                 0                    1654                 1654                 100.000              100.000             
dcd                  0                    1654                 1654                 100.000              100.000             
clksyncd             0                    1654                 1654                 100.000              100.000             
license-check        0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
bfdd                 0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
ppmd                 0                    1654                 1654                 100.000              100.000             
shm-rtsdbd           0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
Action 2!
Thu Sep 18 15:35:43 EDT 2014

CLIENT PROGRESS PERCENTAGE: 
Client Name          Next state           states done          states acked         statesdone percent   statesacked percent 
xdpc2                0                    1654                 1654                 100.000              100.000             
xdpc1                0                    1654                 1654                 100.000              100.000             
xdpc0                0                    1654                 1654                 100.000              100.000             
xdpc4                0                    1654                 1654                 100.000              100.000             
xdpc3                0                    1654                 1654                 100.000              100.000             
cfmd                 0                    1654                 1654                 100.000              100.000             
dfwd                 0                    1654                 1654                 100.000              100.000             
lfmd                 0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
cosd                 0                    1654                 1654                 100.000              100.000             
rpd                  0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
l2ald                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
oamd                 0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
snmpd                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
apsd                 0                    1654                 1654                 100.000              100.000             
pppd                 0                    1654                 1654                 100.000              100.000             
mspd                 0                    1654                 1654                 100.000              100.000             
fsad                 0                    1654                 1654                 100.000              100.000             
dfcd                 0                    1654                 1654                 100.000              100.000             
rdd                  0                    1654                 1654                 100.000              100.000             
rmopd                0                    1654                 1654                 100.000              100.000             
iccpd                0                    1654                 1654                 100.000              100.000             
lmpd                 0                    1654                 1654                 100.000              100.000             
transportd           0                    1654                 1654                 100.000              100.000             
l2cpd                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
pfed                 0                    1654                 1654                 100.000              100.000             
irsd                 0                    1654                 1654                 100.000              100.000             
dcd                  0                    1654                 1654                 100.000              100.000             
clksyncd             0                    1654                 1654                 100.000              100.000             
license-check        0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
bfdd                 0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
ppmd                 0                    1654                 1654                 100.000              100.000             
shm-rtsdbd           0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
Action 3!
Thu Sep 18 15:35:46 EDT 2014

CLIENT PROGRESS PERCENTAGE: 
Client Name          Next state           states done          states acked         statesdone percent   statesacked percent 
xdpc2                0                    1654                 1654                 100.000              100.000             
xdpc1                0                    1654                 1654                 100.000              100.000             
xdpc0                0                    1654                 1654                 100.000              100.000             
xdpc4                0                    1654                 1654                 100.000              100.000             
xdpc3                0                    1654                 1654                 100.000              100.000             
cfmd                 0                    1654                 1654                 100.000              100.000             
dfwd                 0                    1654                 1654                 100.000              100.000             
lfmd                 0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
cosd                 0                    1654                 1654                 100.000              100.000             
rpd                  0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
l2ald                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
oamd                 0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
snmpd                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
apsd                 0                    1654                 1654                 100.000              100.000             
pppd                 0                    1654                 1654                 100.000              100.000             
mspd                 0                    1654                 1654                 100.000              100.000             
fsad                 0                    1654                 1654                 100.000              100.000             
dfcd                 0                    1654                 1654                 100.000              100.000             
rdd                  0                    1654                 1654                 100.000              100.000             
rmopd                0                    1654                 1654                 100.000              100.000             
iccpd                0                    1654                 1654                 100.000              100.000             
lmpd                 0                    1654                 1654                 100.000              100.000             
transportd           0                    1654                 1654                 100.000              100.000             
l2cpd                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
pfed                 0                    1654                 1654                 100.000              100.000             
irsd                 0                    1654                 1654                 100.000              100.000             
dcd                  0                    1654                 1654                 100.000              100.000             
clksyncd             0                    1654                 1654                 100.000              100.000             
license-check        0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
bfdd                 0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
ppmd                 0                    1654                 1654                 100.000              100.000             
shm-rtsdbd           0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
Action 4!
Thu Sep 18 15:35:50 EDT 2014

CLIENT PROGRESS PERCENTAGE: 
Client Name          Next state           states done          states acked         statesdone percent   statesacked percent 
xdpc2                0                    1654                 1654                 100.000              100.000             
xdpc1                0                    1654                 1654                 100.000              100.000             
xdpc0                0                    1654                 1654                 100.000              100.000             
xdpc4                0                    1654                 1654                 100.000              100.000             
xdpc3                0                    1654                 1654                 100.000              100.000             
cfmd                 0                    1654                 1654                 100.000              100.000             
dfwd                 0                    1654                 1654                 100.000              100.000             
lfmd                 0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
cosd                 0                    1654                 1654                 100.000              100.000             
rpd                  0                    1654                 1654                 100.000              100.000             
jdhcpd               0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
l2ald                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
oamd                 0                    1654                 1654                 100.000              100.000             
autoconfd            0                    1654                 1654                 100.000              100.000             
snmpd                0                    1654                 1654                 100.000              100.000             
smid                 0                    1654                 1654                 100.000              100.000             
apsd                 0                    1654                 1654                 100.000              100.000             
pppd                 0                    1654                 1654                 100.000              100.000             
mspd                 0                    1654                 1654                 100.000              100.000             
fsad                 0                    1654                 1654                 100.000              100.000             
dfcd                 0                    1654                 1654                 100.000              100.000             
rdd                  0                    1654                 1654                 100.000              100.000             
rmopd                0                    1654                 1654                 100.000              100.000             
iccpd                0                    1654                 1654                 100.000              100.000             
lmpd                 0                    1654                 1654                 100.000              100.000             
transportd           0                    1654                 1654                 100.000              100.000             
l2cpd                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
mib2d                0                    1654                 1654                 100.000              100.000             
pfed                 0                    1654                 1654                 100.000              100.000             
irsd                 0                    1654                 1654                 100.000              100.000             
dcd                  0                    1654                 1654                 100.000              100.000             
clksyncd             0                    1654                 1654                 100.000              100.000             
license-check        0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
bfdd                 0                    1654                 1654                 100.000              100.000             
idpd                 0                    1654                 1654                 100.000              100.000             
ppmd                 0                    1654                 1654                 100.000              100.000             
shm-rtsdbd           0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
appidd               0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
chassisd             0                    1654                 1654                 100.000              100.000             
Action 5!
Thu Sep 18 15:35:53 EDT 2014

CLIENT PROGRESS PERCENTAGE: 
Client Name          Next state           states done          states acked         statesdone percent   statesacked percent 
msp10                0                    1657                 1657                 100.000              100.000             
cfmd                 0                    1657                 1657                 100.000              100.000             
dfwd                 0                    1657                 1657                 100.000              100.000             
lfmd                 0                    1657                 1657                 100.000              100.000             
jdhcpd               0                    1657                 1657                 100.000              100.000             
cosd                 0                    1657                 1657                 100.000              100.000             
rpd                  0                    1657                 1657                 100.000              100.000             
jdhcpd               0                    1657                 1657                 100.000              100.000             
autoconfd            0                    1657                 1657                 100.000              100.000             
l2ald                0                    1657                 1657                 100.000              100.000             
smid                 0                    1657                 1657                 100.000              100.000             
oamd                 0                    1657                 1657                 100.000              100.000             
autoconfd            0                    1657                 1657                 100.000              100.000             
snmpd                0                    1657                 1657                 100.000              100.000             
smid                 0                    1657                 1657                 100.000              100.000             
apsd                 0                    1657                 1657                 100.000              100.000             
pppd                 0                    1657                 1657                 100.000              100.000             
mspd                 0                    1657                 1657                 100.000              100.000             
fsad                 0                    1657                 1657                 100.000              100.000             
dfcd                 0                    1657                 1657                 100.000              100.000             
rdd                  0                    1657                 1657                 100.000              100.000             
rmopd                0                    1657                 1657                 100.000              100.000             
iccpd                0                    1657                 1657                 100.000              100.000             
lmpd                 0                    1657                 1657                 100.000              100.000             
transportd           0                    1657                 1657                 100.000              100.000             
l2cpd                0                    1657                 1657                 100.000              100.000             
mib2d                0                    1657                 1657                 100.000              100.000             
mib2d                0                    1657                 1657                 100.000              100.000             
mib2d                0                    1657                 1657                 100.000              100.000             
pfed                 0                    1657                 1657                 100.000              100.000             
irsd                 0                    1657                 1657                 100.000              100.000             
dcd                  0                    1657                 1657                 100.000              100.000             
clksyncd             0                    1657                 1657                 100.000              100.000             
license-check        0                    1657                 1657                 100.000              100.000             
idpd                 0                    1657                 1657                 100.000              100.000             
bfdd                 0                    1657                 1657                 100.000              100.000             
